Text,Date,Favorites,Retweets,Tweet ID
"b""Two photos with Atlantic Canada's PC leaders taken one year apart! #NSPC2017pic.twitter.com/EOwN1QCY9C""",2017-02-04 20:35:38,26,3,828054444021522432
"b""Deux photos avec des chefs PC du Canada atlantique prises \xc3\xa0 un an d'\xc3\xa9cart! #NSPC2017pic.twitter.com/uKhw9gH1Bm""",2017-02-04 20:35:28,7,2,828054403559063552
"b'Met with atlantic PC leaders @BlaineHiggs of @pcnbca, @JamieBaillie of @nspc, @JamieDFox of @PEIPCParty, Paul Davis joined by ! #NSPC2017pic.twitter.com/ayXzMPCguE'",2017-02-04 17:03:34,24,8,828001074158120963
"b""Rencontre avec les chefs PC de l'Atlantique: @BlaineHiggs @pcnbca, @JamieBaillie @nspc, @JamieDFox @PEIPCParty, Paul Davis par  ! #NSPC2017pic.twitter.com/rxt6l7QhMZ""",2017-02-04 17:03:31,10,3,828001063626215424
"b'Super de rencontrer @BlaineHiggs, le nouveau chef du @pcnbca, ce matin \xc3\xa0 Halifax avec @RobMoore_CPC! #NSPC2017pic.twitter.com/6dkc5Cr1U5'",2017-02-04 12:56:11,4,0,827938818380677120
"b""Great to meet with @BlaineHiggs, @pcnbca's new leader this morning in Halifax with @RobMoore_CPC! #NSPC2017pic.twitter.com/oqlrSvklU7""",2017-02-04 12:55:21,6,4,827938611433713665
"b""Le gouv prend plus d'argent aux Canadiens afin de payer pour les d\xc3\xa9penses incontr\xc3\xb4l\xc3\xa9es de Justin Trudeau. (Anglais) http://www.torontosun.com/2017/02/01/trudeau-has-a-spending-problem-ambrose\xc2\xa0\xe2\x80\xa6pic.twitter.com/vSf6VAbHVA""",2017-02-04 09:02:01,12,14,827879888145285121
b'Liberals keep hiking taxes to pay for Justin Trudeau\xe2\x80\x99s out of control spending. http://www.torontosun.com/2017/02/01/trudeau-has-a-spending-problem-ambrose\xc2\xa0\xe2\x80\xa6pic.twitter.com/liL0hAmVhc',2017-02-04 09:02:00,98,86,827879886651920385
"b'Great to meet with hard working Sussex, New Brunswick volunteers! Grabbed a quick bite here with @RobMoore_CPC. We had seafood, of course! pic.twitter.com/AmkoOXhMLH'",2017-02-03 17:25:09,30,9,827644120910934017
"b'Super de rencontrer les b\xc3\xa9n\xc3\xa9voles de Sussex, Nouveau-Brunswick! J\xe2\x80\x99ai mang\xc3\xa9 un morceau ici avec @RobMoore_CPC. Des fruits de mer, bien s\xc3\xbbr! pic.twitter.com/GGYUommIej'",2017-02-03 17:25:05,1,0,827644100249866240
"b""I'm calling on Justin Trudeau to support Energy East if approved by the NEB to bring more good jobs to here in Saint John, New Brunswick.pic.twitter.com/V9KzdE4r4R""",2017-02-03 17:20:02,251,159,827642832974262272
b'Heureuse de visiter le @PortSaintJohn au Nouveau-Brunswick avec @RobMoore_CPC aujourd\xe2\x80\x99hui!pic.twitter.com/8VImrTDfh8',2017-02-03 14:56:46,1,1,827606777063669761
b'Great to visit the @PortSaintJohn in New Brunswick with @RobMoore_CPC today!pic.twitter.com/bnjMuyIOe2',2017-02-03 14:56:41,21,5,827606757975453697
"b'Visited @CanRedCrossATL in Saint John, New Brunswick. Impressed by their trained disaster volunteers who\xe2\x80\x99ve been helping everyone in need.pic.twitter.com/jqpT5RbJv1'",2017-02-03 14:04:33,12,7,827593635445227521
"b'J\xe2\x80\x99ai visit\xc3\xa9 @CanRedCrossATL \xc3\xa0 Saint John, NB. Je suis impressionn\xc3\xa9e par leurs b\xc3\xa9n\xc3\xa9voles qui aident tous ceux qui sont dans le besoin.pic.twitter.com/5jD2eXlp82'",2017-02-03 14:04:31,4,1,827593628042268672
"b"" If you\xe2\x80\x99ve been affected by New Brunswick's ice storm & need assistance: please call 1-888-893-1300 so @CanRedCrossATL can register you. """,2017-02-03 13:49:24,11,8,827589823464611841
b' Si vous \xc3\xaates touch\xc3\xa9s par la temp\xc3\xaate de verglas au NB: appelez @CanRedCrossATL au 1-888-893-1300 pour vous enregistrer. ',2017-02-03 13:49:18,4,2,827589798529470464
b'Justin Trudeau needs to admit he has a spending problem: http://www.torontosun.com/2017/02/01/trudeau-has-a-spending-problem-ambrose\xc2\xa0\xe2\x80\xa6pic.twitter.com/f3wUda3gST',2017-02-03 08:44:22,274,244,827513059820367874
"b""Justin Trudeau doit admettre qu'il a un probl\xc3\xa8me de d\xc3\xa9penses. Lisez ma lettre d'opinion (en anglais): http://www.torontosun.com/2017/02/01/trudeau-has-a-spending-problem-ambrose\xc2\xa0\xe2\x80\xa6pic.twitter.com/jK6XIbxZDG""",2017-02-03 08:43:56,14,11,827512950160240640
"b""Merci \xc3\xa0 tous d'avoir \xc3\xa9t\xc3\xa9 ici ce soir! Formidable de voir tant de b\xc3\xa9n\xc3\xa9voles \xc3\xa0 Saint John, Nouveau-Brunswick!pic.twitter.com/WZnrZp9GKN""",2017-02-02 21:13:06,5,3,827339094611152899
"b'Thank you to everyone for coming out tonight! It was great to see so many hard working volunteers here in Saint John, New Brunswick!pic.twitter.com/4c5GNQULy2'",2017-02-02 21:11:58,27,8,827338813437526017
b'Beyond proud that Albertans are welcoming this family in Fort McMurray. Beautiful story of hope for a new life:http://news.nationalpost.com/news/canada/she-was-so-determined-to-get-here-syrian-refugee-gives-birth-hours-after-landing-in-fort-mcmurray\xc2\xa0\xe2\x80\xa6',2017-02-02 20:24:24,45,13,827326842474467330
"b""Great to be in New Brunswick! Talked with @CTVAtlantic @CTVAnchor about Justin Trudeau's carbon tax on hydro/heating.pic.twitter.com/mwtABtYbtc""",2017-02-02 19:38:54,47,11,827315390137192449
"b""Super d'\xc3\xaatre au Nouveau-Brunswick! J'ai parl\xc3\xa9 \xc3\xa0 @CTVAtlantic @CTVAnchor sur la taxe sur le carbone de Trudeau.pic.twitter.com/ec26UBwasd""",2017-02-02 19:38:48,8,1,827315367076827138
b'Super de voir le caucus du @PCC_HQ de la Saskatchewan pour le petit d\xc3\xa9jeuner hier! Je suis chanceuse de les avoir ici \xc3\xa0 Ottawa avec moi.pic.twitter.com/E1Jld0lKky',2017-02-02 17:01:58,4,0,827275896587374598
b'Great to meet with the fantastic @CPC_HQ Saskatchewan caucus for breakfast yesterday! Lucky to have this team here in Ottawa with me.pic.twitter.com/7SX53aqCJt',2017-02-02 16:59:11,15,6,827275195706597376
"b'Whatever Justin Trudeau calls it, it means Canadians will pay more tax.pic.twitter.com/Aou22KNbLr'",2017-02-02 13:27:42,115,117,827221975508643842
"b'Peu importent les mots utilis\xc3\xa9s par Justin Trudeau, les Canadiens paieront toujours plus d\xe2\x80\x99imp\xc3\xb4t.pic.twitter.com/0ddlwhSGjt'",2017-02-02 13:26:50,6,8,827221754871439369
"b'Spending is completely out of control in Ottawa and Canadians are already overtaxed. Today, Conservatives are taking a stand.pic.twitter.com/qo2FqCBS0z'",2017-02-02 13:18:29,135,77,827219654011736065
"b'Les d\xc3\xa9penses sont compl\xc3\xa8tement hors de contr\xc3\xb4le \xc3\xa0 Ottawa et les Canadiens sont surtax\xc3\xa9s. Aujourd\xe2\x80\x99hui, les conservateurs prennent position.pic.twitter.com/j6aTDPVJje'",2017-02-02 13:18:07,15,11,827219561158234112
b'Happy Groundhog Day! A day where everyone is reminded we can\xe2\x80\x99t trust Liberals: http://thechronicleherald.ca/novascotia/1437824-some-of-the-major-election-promises-broken-so-far-by-the-trudeau-liberals\xc2\xa0\xe2\x80\xa6pic.twitter.com/MicFJhHFy7',2017-02-02 10:02:23,91,35,827170303432413184
b'My op-ed today: Justin Trudeau has a spending problem. His legacy is leaving our kids with his debt - http://www.torontosun.com/2017/02/01/trudeau-has-a-spending-problem-ambrose\xc2\xa0\xe2\x80\xa6pic.twitter.com/oJk7Wd2xLY',2017-02-02 08:48:30,210,207,827151711311650817
"b'There\xe2\x80\x99s a good reason ALL drugs aren\xe2\x80\x99t legal, and that\xe2\x80\x99s because they ruin the lives of our loved ones. https://www.facebook.com/ronaambrose/videos/10154430145303525/\xc2\xa0\xe2\x80\xa6'",2017-02-01 22:44:01,78,38,826999586640248838
"b""An 18 yr old won\xe2\x80\x99t see a  balanced budget until they're 56. Youth of  will pay for Justin Trudeau's bad decisions: https://www.facebook.com/ronaambrose/videos/10154430002918525/\xc2\xa0\xe2\x80\xa6""",2017-02-01 20:17:00,223,193,826962591448641537
b'Wynn\xe2\x80\x99s Law simply closes a loophole and could save lives. Why won\xe2\x80\x99t Justin Trudeau commit to support it? https://www.facebook.com/ronaambrose/videos/10154430144933525/\xc2\xa0\xe2\x80\xa6',2017-02-01 17:39:15,25,22,826922892445224964
b'Just sayin... http://news.nationalpost.com/full-comment/rona-ambrose-its-time-to-park-prime-minister-trudeaus-failed-electoral-reform\xc2\xa0\xe2\x80\xa6 #ERREpic.twitter.com/KRVoh2zdkG',2017-02-01 17:22:26,70,34,826918657808822275
"b'On behalf of @CPC_HQ,  I encourage everyone to learn more about the vibrant history of Black Canadians this month: https://www.facebook.com/notes/rona-ambrose/celebrating-black-history-month/10150832114814955\xc2\xa0\xe2\x80\xa6pic.twitter.com/IMRSxlHWdp'",2017-02-01 12:30:06,35,18,826845093306961921
"b'Au nom du @PCC_HQ,  j\xe2\x80\x99encourage tout le monde \xc3\xa0 se renseigner sur la dynamique histoire des Canadiens noirs: https://www.facebook.com/notes/rona-ambrose/celebrating-black-history-month/10150832114814955\xc2\xa0\xe2\x80\xa6pic.twitter.com/bFiaRDjYbu'",2017-02-01 12:30:03,6,3,826845078794752004
"b'Justin Trudeau keeps breaking the rules. He needs to be focused on jobs and the economy, not on damage control: https://www.facebook.com/ronaambrose/videos/10154426824918525/\xc2\xa0\xe2\x80\xa6'",2017-01-31 20:32:01,125,64,826603983552802816
b'Les politiques de Trudeau n\xe2\x80\x99ont pas cr\xc3\xa9\xc3\xa9 d\xe2\x80\x99emplois avant l\xe2\x80\x99\xc3\xa9lection du pr\xc3\xa9s. des \xc3\x89-U. Les Canadiens sont inquiets : https://www.facebook.com/ronaambrose/videos/10154426824458525/\xc2\xa0\xe2\x80\xa6',2017-01-31 20:32:00,8,3,826603979522109440
"b'Congratulations, Major-General Harris!https://twitter.com/RCAF_ARC/status/826479253193682944\xc2\xa0\xe2\x80\xa6'",2017-01-31 19:37:21,130,40,826590224880959490
"b'F\xc3\xa9licitations, Major-G\xc3\xa9n\xc3\xa9ral Harris!https://twitter.com/ARC_RCAF/status/826481492327006209\xc2\xa0\xe2\x80\xa6'",2017-01-31 19:37:02,6,1,826590144815910917
b'Love it!https://twitter.com/AlexNuttallMP/status/825416108031229952\xc2\xa0\xe2\x80\xa6',2017-01-31 17:28:49,20,2,826557879578685441
"b' Justin Trudeau just refused to rule out a new $1,000+ tax on your health care and dental benefits.pic.twitter.com/KPJc8AZpMP'",2017-01-31 14:48:46,326,539,826517602163908608
"b'This is potentially $1,000+ in new tax for individuals earning just $45,000. Double that for two-income households.https://twitter.com/chriswarkentin/status/826170101577584640\xc2\xa0\xe2\x80\xa6'",2017-01-31 08:36:39,60,133,826423955061874688
"b'Canadians need a PM that is focused on protecting their interests, not one who spends his time defending his own: https://www.facebook.com/ronaambrose/videos/10154423509468525/\xc2\xa0\xe2\x80\xa6'",2017-01-30 20:15:00,218,112,826237312539385856
b'It\xe2\x80\x99s time for Justin Trudeau to get serious and present a plan to protect Canadian workers and their families. https://www.facebook.com/ronaambrose/videos/10154423507268525/\xc2\xa0\xe2\x80\xa6',2017-01-30 16:45:00,97,31,826184465231679490
"b'We are offering our prayers to families in Quebec City who today are mourning fathers, husbands, brothers and sons.pic.twitter.com/U854RSjY6x'",2017-01-30 14:57:27,256,114,826157395520937985
"b'Nous offrons nos pri\xc3\xa8res aux familles de Qu\xc3\xa9bec qui aujourd\xe2\x80\x99hui pleurent leurs p\xc3\xa8res, leurs conjoints, leurs fr\xc3\xa8res et leurs fils.pic.twitter.com/yGxrmOqr0H'",2017-01-30 14:57:16,26,15,826157350457315329
b'Shocking news. We just returned from Quebec City. Praying for the victims of this unspeakable crime. Those responsible must face justice.https://twitter.com/CBCAlerts/status/825894188713656321\xc2\xa0\xe2\x80\xa6',2017-01-29 22:01:26,180,160,825901708895199234
b'Terrible nouvelle. Venons de rentrer de Qu\xc3\xa9bec. Prions pour les victimes de ce crime innommable. Responsables doivent affronter la justice.https://twitter.com/tvanouvelles/status/825891907989549056\xc2\xa0\xe2\x80\xa6',2017-01-29 22:00:51,38,51,825901561603903488
"b'Countries like Canada and the US need to shelter ISIS persecuted groups from genocide. Yazidis, Assyrians, Christians and Muslims alike. 4/4'",2017-01-29 13:24:31,202,139,825771624234352640
b'Relieved to hear all Canadian passport holders are being exempted from US travel restrictions. 3/4',2017-01-29 13:24:10,71,57,825771534929297408
b'... it is a proud part of our history and built this great country. 2/4',2017-01-29 13:23:57,62,51,825771479539314690
"b""Immigrants and refugees from all over the world have greatly added to Canada's success and prosperity... 1/4""",2017-01-29 13:23:44,160,97,825771425596395520
"b'... les prot\xc3\xa9ger contre le g\xc3\xa9nocide, notamment les y\xc3\xa9zidis et les assyriens, les chr\xc3\xa9tiens et les musulmans. 5/5'",2017-01-29 13:22:41,11,3,825771160558256128
b'Des pays comme le Canada et les \xc3\x89tats-Unis doivent donner refuge aux groupes pers\xc3\xa9cut\xc3\xa9s par le groupe \xc3\x89tat islamique... 4/5',2017-01-29 13:22:23,7,4,825771086797234176
b'Soulag\xc3\xa9e de savoir que tous les d\xc3\xa9tenteurs d\xe2\x80\x99un passeport canadien sont exempt\xc3\xa9s des restrictions de voyage des \xc3\x89tats-Unis. 3/5',2017-01-29 13:22:06,5,3,825771012792938498
b'... c\xe2\x80\x99est une fi\xc3\xa8re partie de notre histoire et cela a b\xc3\xa2ti ce grand pays. 2/5',2017-01-29 13:21:53,4,6,825770957738487808
